<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MWIG40,D,20230511,000000,4691.24,4718.88,4653.24,4654.32,9905601,0
MWIG40,D,20230512,000000,4662.26,4676.11,4649.88,4671.81,15592499,0
MWIG40,D,20230515,000000,4668.95,4698.46,4651.05,4669.14,9909749,0
MWIG40,D,20230516,000000,4657.57,4682.34,4639.61,4672.59,7248880,0
MWIG40,D,20230517,000000,4674.92,4683.89,4631.2,4652.64,12671168,0
MWIG40,D,20230518,000000,4663.52,4703.13,4631.47,4644.45,9442484,0
MWIG40,D,20230519,000000,4658.72,4687.84,4645.23,4674.52,6103270,0
MWIG40,D,20230522,000000,4691.87,4766.7,4691.87,4758.59,12834686,0
MWIG40,D,20230523,000000,4765.77,4783.06,4741.82,4760.99,8139561,0
MWIG40,D,20230524,000000,4740.21,4740.21,4637.75,4652.1,9882026,0
MWIG40,D,20230525,000000,4664.69,4668.65,4587.64,4643.41,8146234,0
MWIG40,D,20230526,000000,4631.42,4689,4620.86,4685.19,4674913,0
MWIG40,D,20230529,000000,4690.06,4698.59,4671.59,4672.74,3405991,0
MWIG40,D,20230530,000000,4668.9,4669.48,4630.63,4635.57,6299627,0
MWIG40,D,20230531,000000,4630.43,4633.49,4521.17,4549.84,13047747,0
MWIG40,D,20230601,000000,4559.45,4612.1,4550.97,4610.96,6430779,0
MWIG40,D,20230602,000000,4625.27,4725.78,4621.91,4721.63,8606098,0
MWIG40,D,20230605,000000,4721.19,4754.58,4695.02,4709.96,7701952,0
MWIG40,D,20230606,000000,4712.65,4749.55,4710.25,4744.19,10349063,0
MWIG40,D,20230607,000000,4747.68,4752.85,4687.49,4711.76,8045665,0
MWIG40,D,20230609,000000,4724.11,4737.44,4717.56,4724.97,6318372,0
MWIG40,D,20230612,000000,4713.8,4714.13,4677.75,4689.79,5415642,0
MWIG40,D,20230613,000000,4688.44,4689.99,4616.1,4616.1,7455349,0
MWIG40,D,20230614,000000,4618.98,4712.7,4618.98,4691.4,17347831,0
MWIG40,D,20230615,000000,4692.17,4726.25,4669.94,4716.97,15686467,0
MWIG40,D,20230616,000000,4730.4,4749.2,4702.08,4722.38,14092606,0
MWIG40,D,20230619,000000,4716.08,4753.74,4711.08,4743,12874981,0
MWIG40,D,20230620,000000,4741.42,4743.79,4708.51,4728.91,7712407,0
MWIG40,D,20230621,000000,4732.03,4763.21,4727.26,4747.7,6613681,0
MWIG40,D,20230622,000000,4745.97,4808.77,4726.67,4785.09,6387433,0
MWIG40,D,20230623,000000,4780.22,4780.22,4742.07,4742.8,7103989,0
MWIG40,D,20230626,000000,4739.27,4784.02,4702.33,4765.37,7340747,0
