<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SWIG80,D,20231010,000000,20259.33,20518.35,20259.33,20518.35,1659314,0
SWIG80,D,20231011,000000,20529.66,20620.78,20504.49,20567.66,1181643,0
SWIG80,D,20231012,000000,20625.85,20659.49,20544.34,20611.55,1116571,0
SWIG80,D,20231013,000000,20616.45,20706.41,20608.34,20663.15,1901849,0
SWIG80,D,20231016,000000,20756.01,20886.59,20719.49,20886.59,3182665,0
SWIG80,D,20231017,000000,20951.11,21123.63,20930.44,21123.63,3398286,0
SWIG80,D,20231018,000000,21131.63,21132.2,20940.69,21032.68,4349551,0
SWIG80,D,20231019,000000,21036.83,21036.83,20794,20870.98,3086127,0
SWIG80,D,20231020,000000,20890.91,20890.91,20661.04,20688.67,1305468,0
SWIG80,D,20231023,000000,20759.06,20765.09,20562.13,20592.09,1891435,0
SWIG80,D,20231024,000000,20663.27,20741.46,20607.81,20706.32,1775387,0
SWIG80,D,20231025,000000,20714.32,20718.18,20618.96,20639.6,1872067,0
SWIG80,D,20231026,000000,20636.05,20661.34,20581.94,20596.61,1724833,0
SWIG80,D,20231027,000000,20615.82,20744.1,20615.82,20681.91,1314315,0
SWIG80,D,20231030,000000,20704.75,20839.01,20671.86,20839.01,2422374,0
SWIG80,D,20231031,000000,20879.26,20895.48,20832.44,20849.91,3169583,0
SWIG80,D,20231102,000000,20840.33,20942.35,20838.02,20895.28,2308545,0
SWIG80,D,20231103,000000,20873.43,20891.6,20811.85,20865.32,3466832,0
SWIG80,D,20231106,000000,20921.5,21041.45,20906.3,20976.54,2780781,0
SWIG80,D,20231107,000000,20905.92,20962.26,20880.15,20880.15,2446261,0
SWIG80,D,20231108,000000,20918.3,20931.31,20815.97,20873.64,1881313,0
SWIG80,D,20231109,000000,20888.01,20934.22,20861.03,20888.63,1366835,0
SWIG80,D,20231110,000000,20926.52,20972.21,20829.53,20837.21,1638343,0
SWIG80,D,20231113,000000,20928.05,20958.61,20784.68,20784.68,2225803,0
SWIG80,D,20231114,000000,20825.39,20939.57,20779.14,20902.66,1703405,0
SWIG80,D,20231115,000000,20958.92,20969.43,20873.49,20912.65,2282796,0
SWIG80,D,20231116,000000,20959.69,20999.33,20858.89,20887.28,2158617,0
SWIG80,D,20231117,000000,20943.24,21052.35,20926.64,21002.33,2219989,0
SWIG80,D,20231120,000000,21024.03,21129.63,21013.3,21107,2698055,0
SWIG80,D,20231121,000000,21197.7,21301.55,21184.87,21301.55,2571361,0
SWIG80,D,20231122,000000,21337.05,21349.77,21239.07,21259.25,1849494,0
SWIG80,D,20231123,000000,21303.36,21344.25,21273.38,21310.32,3334697,0
SWIG80,D,20231124,000000,21342.06,21370.62,21314.05,21328.18,1995707,0
SWIG80,D,20231127,000000,21333.01,21370.35,21242.57,21347.76,2537727,0
SWIG80,D,20231128,000000,21345.84,21514.59,21345.84,21479.6,2511957,0
SWIG80,D,20231129,000000,21559.31,21559.31,21444.59,21476.68,2869243,0
SWIG80,D,20231130,000000,21479.03,21538.27,21395.99,21494.58,2731685,0
SWIG80,D,20231201,000000,21556.84,21838.94,21531.66,21838.94,2941505,0
SWIG80,D,20231204,000000,21888.87,22009.99,21883.31,21971.57,2773042,0
SWIG80,D,20231205,000000,22037.31,22093.31,21973.26,21988.17,3426182,0
SWIG80,D,20231206,000000,22003.57,22122.82,21978.49,22092.38,2446755,0
SWIG80,D,20231207,000000,22126.67,22126.67,21962.15,22034.31,1956981,0
SWIG80,D,20231208,000000,22044.04,22186.59,22044.04,22186.59,1981037,0
SWIG80,D,20231211,000000,22223.89,22318.32,22159.95,22299.46,2474973,0
SWIG80,D,20231212,000000,22318.35,22356.9,22280.95,22330.65,2731667,0
SWIG80,D,20231213,000000,22376.42,22514.67,22362.86,22514.67,2536232,0
SWIG80,D,20231214,000000,22510.85,22590.38,22507.95,22578.66,3265999,0
SWIG80,D,20231215,000000,22626.98,22775.6,22618.53,22775.6,3414280,0
SWIG80,D,20231218,000000,22771.3,22771.3,22623.92,22645.43,2464664,0
SWIG80,D,20231219,000000,22654.11,22714.06,22588.49,22669.99,3118735,0
SWIG80,D,20231220,000000,22715.04,22721.27,22529.41,22651.74,2934069,0
SWIG80,D,20231221,000000,22627.12,22644.29,22520.92,22596.17,3168056,0
SWIG80,D,20231222,000000,22592.39,22705.37,22586.68,22674.27,3933600,0
SWIG80,D,20231227,000000,22758.07,22858.09,22758.07,22802.65,4999057,0
SWIG80,D,20231228,000000,22867.93,22950.33,22867.67,22950.33,2947100,0
SWIG80,D,20231229,000000,22975.52,23059.9,22869.68,22904.49,12652365,0
SWIG80,D,20240102,000000,23038.21,23173.85,22803.56,22912.59,17929476,0
SWIG80,D,20240103,000000,22927.67,22939.07,22700.46,22874.44,5691011,0
SWIG80,D,20240104,000000,22859.38,22947.53,22820.87,22864.35,4360148,0
SWIG80,D,20240105,000000,22913.47,22936,22697.47,22866.88,3809329,0
SWIG80,D,20240108,000000,22828.87,22943.49,22763.49,22934.29,4239848,0
SWIG80,D,20240109,000000,23045.99,23168.75,23039.96,23168.75,3615101,0
SWIG80,D,20240110,000000,23221.31,23245.71,23164.13,23245.01,3322638,0
SWIG80,D,20240111,000000,23266.52,23335.86,23181.6,23250.25,2505817,0
SWIG80,D,20240112,000000,23311.32,23344.18,23246.31,23250.18,2063665,0
SWIG80,D,20240115,000000,23265.09,23304.36,23021.06,23074.8,2270511,0
SWIG80,D,20240116,000000,23071.07,23100.22,22963.05,22996.13,2552983,0
SWIG80,D,20240117,000000,22996.58,23004.29,22551.66,22568.39,3062247,0
SWIG80,D,20240118,000000,22591.63,22699.4,22591.63,22696.05,1424495,0
SWIG80,D,20240119,000000,22785.89,22893.43,22785.89,22837,1498100,0
SWIG80,D,20240122,000000,22926.16,22953.2,22786.02,22885.87,1944320,0
SWIG80,D,20240123,000000,22874.5,22885.03,22730.74,22772.51,1634410,0
SWIG80,D,20240124,000000,22817.61,22876.24,22785.92,22876.24,3834430,0
SWIG80,D,20240125,000000,22910.99,22910.99,22750.71,22752.17,6342328,0
SWIG80,D,20240126,000000,22810.24,22842.41,22746.77,22839.86,2727858,0
SWIG80,D,20240129,000000,22830.53,22896.44,22791,22831.29,2075694,0
SWIG80,D,20240130,000000,22861.57,22875.49,22801.75,22845.92,1433325,0
SWIG80,D,20240131,000000,22879.64,22956.99,22814.07,22916.62,2364811,0
SWIG80,D,20240201,000000,22915.26,23110.22,22878.63,23110.22,2555968,0
SWIG80,D,20240202,000000,23155.96,23237.67,23139.3,23235.05,2459187,0
SWIG80,D,20240205,000000,23259.62,23347.73,23200.2,23314.61,2374093,0
SWIG80,D,20240206,000000,23380.37,23385.09,23226.53,23277.95,1872964,0
